Index,ground,margin,matchdate,matchid,team1,team2,winner
2594,Windhoek,5 wickets,"Apr 27, 2019",1174844,P.N.G.,U.S.A.,P.N.G.
2593,Windhoek,145 runs,"Apr 27, 2019",1174845,Namibia,Oman,Namibia
2592,Harare,3 wickets,"Apr 16, 2019",1179275,Zimbabwe,U.A.E.,Zimbabwe
2591,Harare,131 runs,"Apr 14, 2019",1179274,Zimbabwe,U.A.E.,Zimbabwe
2590,Harare,4 runs,"Apr 12, 2019",1179273,Zimbabwe,U.A.E.,Zimbabwe
2589,Harare,7 wickets,"Apr 10, 2019",1179272,Zimbabwe,U.A.E.,Zimbabwe
2588,Dubai (DSC),20 runs,"Mar 31, 2019",1174242,Australia,Pakistan,Australia
2587,Dubai (DSC),6 runs,"Mar 29, 2019",1174241,Australia,Pakistan,Australia
2586,Abu Dhabi,80 runs,"Mar 27, 2019",1174240,Australia,Pakistan,Australia
2585,Sharjah,8 wickets,"Mar 24, 2019",1174239,Australia,Pakistan,Australia
2584,Sharjah,8 wickets,"Mar 22, 2019",1174238,Australia,Pakistan,Australia
2583,Cape Town,41 runs,"Mar 16, 2019",1144171,South Africa,Sri Lanka,South Africa
2582,Port Elizabeth,6 wickets,"Mar 13, 2019",1144170,South Africa,Sri Lanka,South Africa
2581,Delhi,35 runs,"Mar 13, 2019",1168246,India,Australia,Australia
2580,Durban,71 runs,"Mar 10, 2019",1144169,South Africa,Sri Lanka,South Africa
2579,Mohali,4 wickets,"Mar 10, 2019",1168245,India,Australia,Australia
2578,Dehradun,5 wickets,"Mar 10, 2019",1168119,Afghanistan,Ireland,Ireland
2577,Ranchi,32 runs,"Mar 8, 2019",1168244,India,Australia,Australia
2576,Dehradun,109 runs,"Mar 8, 2019",1168118,Afghanistan,Ireland,Afghanistan
2575,Centurion,113 runs,"Mar 6, 2019",1144168,South Africa,Sri Lanka,South Africa
2574,Nagpur,8 runs,"Mar 5, 2019",1168243,India,Australia,India
2573,Dehradun,4 wickets,"Mar 5, 2019",1168117,Afghanistan,Ireland,Ireland
2572,Johannesburg,8 wickets,"Mar 3, 2019",1144167,South Africa,Sri Lanka,South Africa
2571,Gros Islet,7 wickets,"Mar 2, 2019",1158070,West Indies,England,West Indies
2570,Hyderabad (Deccan),6 wickets,"Mar 2, 2019",1168242,India,Australia,India
2569,Dehradun,,"Mar 2, 2019",1168116,Afghanistan,Ireland,no result
2568,Dehradun,5 wickets,"Feb 28, 2019",1168115,Afghanistan,Ireland,Afghanistan
2567,St George's,29 runs,"Feb 27, 2019",1158069,West Indies,England,England
2566,St George's,,"Feb 25, 2019",1158068,West Indies,England,no result
2565,Bridgetown,26 runs,"Feb 22, 2019",1158067,West Indies,England,West Indies
2564,Bridgetown,6 wickets,"Feb 20, 2019",1158066,West Indies,England,England
2563,Dunedin,88 runs,"Feb 20, 2019",1153846,New Zealand,Bangladesh,New Zealand
2562,Christchurch,8 wickets,"Feb 16, 2019",1153845,New Zealand,Bangladesh,New Zealand
2561,Napier,8 wickets,"Feb 13, 2019",1153844,New Zealand,Bangladesh,New Zealand
2560,Wellington,35 runs,"Feb 3, 2019",1153695,New Zealand,India,India
2559,Hamilton,8 wickets,"Jan 31, 2019",1153694,New Zealand,India,New Zealand
2558,Cape Town,7 wickets,"Jan 30, 2019",1144160,South Africa,Pakistan,South Africa
2557,ICCA Dubai,4 wickets,"Jan 28, 2019",1170456,U.A.E.,Nepal,Nepal
2556,Mount Maunganui,7 wickets,"Jan 28, 2019",1153693,New Zealand,India,India
2555,Johannesburg,8 wickets,"Jan 27, 2019",1144159,South Africa,Pakistan,Pakistan
2554,ICCA Dubai,145 runs,"Jan 26, 2019",1170455,U.A.E.,Nepal,Nepal
2553,Mount Maunganui,90 runs,"Jan 26, 2019",1153692,New Zealand,India,India
2552,Centurion,13 runs,"Jan 25, 2019",1144158,South Africa,Pakistan,South Africa
2551,ICCA Dubai,3 wickets,"Jan 25, 2019",1170454,U.A.E.,Nepal,U.A.E.
2550,Napier,8 wickets,"Jan 23, 2019",1153691,New Zealand,India,India
2549,Durban,5 wickets,"Jan 22, 2019",1144157,South Africa,Pakistan,South Africa
2548,Port Elizabeth,5 wickets,"Jan 19, 2019",1144156,South Africa,Pakistan,Pakistan
2547,Melbourne,7 wickets,"Jan 18, 2019",1144999,Australia,India,India
2546,Adelaide,6 wickets,"Jan 15, 2019",1144998,Australia,India,India
2545,Sydney,34 runs,"Jan 12, 2019",1144997,Australia,India,Australia
2544,Nelson,115 runs,"Jan 8, 2019",1153842,New Zealand,Sri Lanka,New Zealand
2543,Mount Maunganui,21 runs,"Jan 5, 2019",1153841,New Zealand,Sri Lanka,New Zealand
2542,Mount Maunganui,45 runs,"Jan 3, 2019",1153840,New Zealand,Sri Lanka,New Zealand
2541,Sylhet,8 wickets,"Dec 14, 2018",1153316,Bangladesh,West Indies,Bangladesh
2540,Dhaka,4 wickets,"Dec 11, 2018",1153315,Bangladesh,West Indies,West Indies
2539,Dhaka,5 wickets,"Dec 9, 2018",1153314,Bangladesh,West Indies,Bangladesh
2538,Dubai (DSC),,"Nov 11, 2018",1157380,New Zealand,Pakistan,no result
